city,x,y
Ужгород,-553.0,12.0
Львів,-481.0, 126.0
Івано-Франківськ,-460.0,36.0
Чернівці,-364.0,-10.0
Тернопіль,-383.0,101.0
Хмельницький,-300.0,106.0
Луцьк,-449.0,268.0
Рівне,-315.0,237.0
Житомир,-218.0,221.0
Вінниця,-190.0,56.0
Одеса,-84.0,-127.0
Миколаїв,1.0,-82.0
Кропивницький,-17.0,10.0
Черкаси,0.0,97.0
Київ,-50.0,169.0
Чернігів,0.0,285.0
Суми,153.0,242.0
Полтава,120.0,136.0
Дніпро,182.0,11.0
Херсон,117.0,-152.0
Крим,165.0,-284.0
Запоріжжя,239.0,-105.0
Донецьк,365.0,-36.0
Харків,299.0,113.0
Луганськ,448.0,72.0
